date,segment,daily_net_flow,daily_buy,daily_sell,trade_count,cum_net_flow
2024-12-24,Medium,571857.38538,1023466.93857,451609.55319,187814,14206880.017422
2024-12-25,Medium,361935.3268239998,2552073.720744,2190138.39392,293709,14568815.344246
2024-12-26,Medium,17395263.492448,18222813.073458,827549.58101,1141589,31964078.836694
2024-12-27,Medium,82701980.91068201,83141440.503732,439459.59305,997888,114666059.74737601
2024-12-28,Medium,92887.556484,98732.66968400001,5845.113199999997,1236,114758947.30386001
2024-12-29,Medium,-202.64040499999987,5104.801755,5307.44216,151,114758744.66345501
2024-12-30,Medium,-90.695926,94.31474399999999,185.01067,34,114758653.96752901
2024-12-31,Medium,-448.059975,218.309635,666.3696100000001,27,114758205.90755402
2025-01-01,Medium,2159.426969,3445.766039,1286.33907,23,114760365.334523
2025-01-02,Medium,682192.510133,700240.078653,18047.56852,280,115442557.844656
2025-01-03,Medium,90019.43665300001,93269.40411300001,3249.9674599999994,40,115532577.28130901
2025-10-14,Medium,7.504893999999624,1274.1608939999996,1266.656,60,115532584.78620301
2025-10-15,Medium,-72.622603,354.786797,427.4094,17,115532512.16360001
2025-10-16,Medium,-472.79549999999995,45.8,518.5955,8,115532039.3681
2025-10-17,Medium,-36.4,0.0,36.4,1,115532002.96810001
2025-10-18,Medium,1509.3413979999998,1870.027598,360.6862,26,115533512.30949801
2025-10-19,Medium,-342.13980000000004,23.46,365.5998,8,115533170.16969801
2025-10-20,Medium,6.699999999999996,52.199999999999996,45.5,2,115533176.869698
2025-10-21,Medium,-195.3,0.0,195.3,1,115532981.569698
2025-10-24,Medium,-310.36,0.0,310.36,4,115532671.209698
2025-10-26,Medium,190.0,190.0,0.0,2,115532861.209698
2025-10-27,Medium,604.159,631.159,27.0,7,115533465.36869802
2025-10-28,Medium,159.37278799999984,398.5761879999999,239.20340000000002,13,115533624.74148601
2025-10-30,Medium,-124.09530000000001,55.0,179.0953,9,115533500.64618601
2025-11-01,Medium,-112.75210000000001,0.0,112.75210000000001,2,115533387.894086
2025-11-02,Medium,-130.94882,195.99998,326.9488,8,115533256.94526601
2025-11-03,Medium,-100.74090699999998,29.999993000000003,130.74089999999998,2,115533156.20435901
